backend,precision,input_bits,top1_mean,top5_mean,lat_ms_mean,lat_ms_std
pytorch,fp16,1,30.4255319149,59.8581560284,2.9372619255,1.244
pytorch,fp32,1,30.4255319149,59.7163120567,2.8645404568,1.244
pytorch,fp16,2,54.3971631206,80.4255319149,3.1078988021,1.244
pytorch,fp32,2,54.3971631206,80.4255319149,2.9670313099000003,1.244
pytorch,fp16,4,80.3546099291,96.2411347518,2.9975344043,1.244
pytorch,fp32,4,80.2127659574,96.2411347518,2.922133122,1.244
pytorch,fp16,8,81.0638297872,96.7375886525,3.0063656908,1.244
pytorch,fp32,8,81.134751773,96.6666666667,3.0167263036,1.244
tensorrt,fp16,1,30.4964539007,59.7872340426,0.4975465262,0.276
tensorrt,fp32,1,30.4255319149,59.7872340426,0.9690247915,0.136
tensorrt,fp8,1,29.5035460993,58.9361702128,0.6338262128000001,0.276
tensorrt,int4,1,28.3687943262,57.5177304965,0.49556215740000004,0.276
tensorrt,int8,1,29.3617021277,60.2127659574,0.6686748766,0.276
tensorrt,fp16,2,54.3971631206,80.4964539007,0.47005530430000003,0.276
tensorrt,fp32,2,54.3262411348,80.4255319149,0.9768018284000001,0.136
tensorrt,fp8,2,54.1843971631,80.0,0.6337312887000001,0.276
tensorrt,int4,2,51.6312056738,78.5815602837,0.5005618284,0.276
tensorrt,int8,2,53.9716312057,80.2836879433,0.7073017099000001,0.276
tensorrt,fp16,4,80.2127659574,96.2411347518,0.48310872130000004,0.276
tensorrt,fp32,4,80.2836879433,96.2411347518,0.9731525667,0.136
tensorrt,fp8,4,80.2127659574,96.0992907801,0.6373277957,0.276
tensorrt,int4,4,79.6453900709,95.8156028369,0.49015726460000003,0.276
tensorrt,int8,4,80.8510638298,96.3120567376,0.7319959071000001,0.276
tensorrt,fp16,8,81.134751773,96.6666666667,0.4776681759,0.276
tensorrt,fp32,8,81.0638297872,96.6666666667,0.9848498986,0.136
tensorrt,fp8,8,80.9929078014,96.524822695,0.637437527,0.276
tensorrt,int4,8,81.4184397163,96.4539007092,0.503307634,0.276
tensorrt,int8,8,80.7092198582,96.4539007092,0.6723675908,0.276
